"filename", "language", "C++", "XML", "comment", "blank", "total"
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\defined.h", "C++", 4, 0, 0, 3, 7
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\line.h", "C++", 28, 0, 0, 9, 37
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\math.h", "C++", 9, 0, 0, 3, 12
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\math.hpp", "C++", 2, 0, 0, 1, 3
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\matrix.h", "C++", 247, 0, 11, 27, 285
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\matrix_exp.h", "C++", 40, 0, 0, 12, 52
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\rectangle.h", "C++", 97, 0, 0, 17, 114
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\rotation.h", "C++", 26, 0, 3, 11, 40
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\transform.h", "C++", 23, 0, 0, 7, 30
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\util.h", "C++", 75, 0, 34, 19, 128
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\vector.h", "C++", 308, 0, 20, 40, 368
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\vector_exp.h", "C++", 32, 0, 0, 15, 47
"g:\Projects\C_CPP\Clion\NGS\include\NGS\math\vector_post.h", "C++", 241, 0, 38, 47, 326
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\base\concepts.h", "C++", 4, 0, 0, 5, 9
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\base\expression.h", "C++", 28, 0, 9, 11, 48
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\base\tag.h", "C++", 7, 0, 0, 5, 12
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\base\traits.h", "C++", 23, 0, 0, 8, 31
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\defined.h", "C++", 10, 0, 0, 8, 18
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\matrix\concepts.h", "C++", 17, 0, 0, 8, 25
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\matrix\container.h", "C++", 11, 0, 0, 6, 17
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\matrix\expression.h", "C++", 14, 0, 0, 5, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\matrix\tag.h", "C++", 7, 0, 0, 5, 12
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\mla.h", "C++", 3, 0, 0, 2, 5
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar.h", "C++", 3, 0, 0, 1, 4
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary.h", "C++", 6, 0, 0, 2, 8
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign.h", "C++", 7, 0, 0, 2, 9
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\assign.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\divides.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\functor.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\minus.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\multiplies.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\plus.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\swap.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\divides.h", "C++", 14, 0, 0, 5, 19
